"0 disables log cleaning. Not recommended.","0 disables log cleaning. Not recommended."
"A total of %1 email(s) have been cancelled.","A total of %1 email(s) have been cancelled."
"A total of %1 email chain(s) have been cancelled.","A total of %1 email chain(s) have been cancelled."
"A total of %1 email(s) have been deleted.","A total of %1 email(s) have been deleted."
"A total of %1 email(s) have been sent.","A total of %1 email(s) have been sent."
"A/B","A/B"
"A/B Testing Mode","A/B Testing Mode"
"Abandoned Cart","Abandoned Cart"
"Actions","Actions"
"Add Email","Add Email"
"After","After"
"after event triggered","after event triggered"
"after previous email sent","after previous email sent"
"Aheadworks Extensions","Aheadworks Extensions"
"Aheadworks Follow Up Email 2","Aheadworks Follow Up Email 2"
"All Groups","All Groups"
"All Product Types","All Product Types"
"All Store Views","All Store Views"
"All the campaign events and emails statistics will be set to 0. This action cannot be reversed.","All the campaign events and emails statistics will be set to 0. This action cannot be reversed."
"All the campaign events and emails will be removed. This action cannot be reversed.","All the campaign events and emails will be removed. This action cannot be reversed."
"All the event emails statistics will be set to 0. This action cannot be reversed.","All the event emails statistics will be set to 0. This action cannot be reversed."
"Apply","Apply"
"Apply and go to campaign where moved in","Apply and go to campaign where moved in"
"Are you sure you want to deactivate the campaign? All the campaign email chains will be canceled. This action cannot be reversed.","Are you sure you want to deactivate the campaign? All the campaign email chains will be canceled. This action cannot be reversed."
"Are you sure you want to deactivate the event? All the event email chains will be canceled. This action cannot be reversed.","Are you sure you want to deactivate the event? All the event email chains will be canceled. This action cannot be reversed."
"Are you sure you want to delete the ""{CampaignName}"" campaign?","Are you sure you want to delete the ""{CampaignName}"" campaign?"
"Are you sure you want to delete the ""{EventName}"" event?","Are you sure you want to delete the ""{EventName}"" event?"
"Are you sure you want to move the event to deactivated campaign? All the pending email chains will be canceled. This action cannot be reversed.","Are you sure you want to move the event to deactivated campaign? All the pending email chains will be canceled. This action cannot be reversed."
"Are you sure you want to reset the campaign statistics?","Are you sure you want to reset the campaign statistics?"
"Are you sure you want to reset the email statistics?","Are you sure you want to reset the email statistics?"
"Are you sure you want to reset the event statistics?","Are you sure you want to reset the event statistics?"
"Back","Back"
"before event triggered","before event triggered"
"BCC Email Address(es)","BCC Email Address(es)"
"BCC Email(s)","BCC Email(s)"
"Before","Before"
"Campaign","Campaign"
"Campaign can not be found!","Campaign can not be found!"
"Campaign Description","Campaign Description"
"Campaign Id is not specified!","Campaign Id is not specified!"
"Campaign Name","Campaign Name"
"Campaigns","Campaigns"
"Cancel","Cancel"
"Cancel all consecutive emails in the chain","Cancel all consecutive emails in the chain"
"Cancel Chain","Cancel Chain"
"Cancel selected email chains","Cancel selected email chains"
"Cancel selected email chains?","Cancel selected email chains?"
"Cancel selected emails","Cancel selected emails"
"Cancel selected emails?","Cancel selected emails?"
"Cancel the email?","Cancel the email?"
"Cancel this chain","Cancel this chain"
"Cart Conditions","Cart Conditions"
"Cart Grand Total","Cart Grand Total"
"Cart Subtotal","Cart Subtotal"
"Choose the campaign where the event will be moved:","Choose the campaign where the event will be moved:"
"Click Rate","Click Rate"
"Click ""{ButtonName}"" to add new email.","Click ""{ButtonName}"" to add new email."
"Click ""{ButtonName}"" to add new event.","Click ""{ButtonName}"" to add new event."
"Click ""{ButtonName}"" to start.","Click ""{ButtonName}"" to start."
"Clicked","Clicked"
"Clicks","Clicks"
"Conditions","Conditions"
"Content","Content"
"Create Event","Create Event"
