"Url","Product ID","Titel","Plaatje","Omschrijving","Category Pad","SubCategory","Prijs","Merk","Levertijd","Oude prijs","Kleur","Product maten","Voorraad","Materiaal","Top product","Geslacht","Plaatje 2"
"https://www.jemappelle.nl/le-pantalon-charmant-blanc","6101","Le Pantalon Charmant ","https://www.jemappelle.nl/media/catalog/product/2/0/20150617-jm20-1018-10.jpg","Deze prachtige chino gaat tot je favorieten behoren! Prachtige pantalon met een chino/slim fit, 2 steekzakken en een mooie witte tape op beide zijnaden. De heerlijke kwaliteit van katoen met elastan draagt heerlijk luchtig en zorgt voor een prachtige pasvorm. Blijft ook tijdens het dragen mooi! 
Overal eenvoudige mee te combineren; met deze broek ga je nooit mis, business wise met colbertje, of streetwise met een van onze heerlijke T's of tanktops. 

Maatvoering:
Ons model Nadieh is 1.79 en haar maten zijn borst 90 - taille 68 - heup 92. Ze draagt hier een S. 
","","Jemappelle","20,00","Je m appelle","","49,98","","","0","97% Cotton / 3% Elasthan","","","",
"https://www.jemappelle.nl/la-robe-a-la-coco-etoile-silver-noir","6711","La Robe à la Coco L'Etoile ","https://www.jemappelle.nl/media/catalog/product/7/7/779.1_1.jpg","Mooi jurkje in stijlvol zwart met zilveren ster aan de voorzijde. Door de slimme fit is dit jurkje zowel lang als kort te dragen. De hals is naar wens ook off shoulder te dragen. Gemaakt van prachtige modal die zowel tijdens het dragen als na het wassen heel mooi blijft. Mooi in combinatie met onze kanten sterren legging.","★ SALE ★ > SALE €5","SALE €5","32,98","Je m appelle","","34,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/la-fundress-dip-dye-offwhite-antracite","7224","La Fundress Dip Dye","https://www.jemappelle.nl/media/catalog/product/9/7/972.1.jpg","<img title=&quot;Maatvoering&quot; src=&quot;{{media url=&quot;wysiwyg/Maatvoering_Normaal.png&quot;}}&quot; alt=&quot;Maatvoering&quot;
Ooh la la! Deze dip dyed dress is TE leuk! 
De prachtige kleurencombinatie verloopt van antracite naar off white wat een prachtig effect geeft. 
De originele Je m'appelle print ontbreekt uiteraard niet!
Gemaakt van katoen, polyester en uiteraard elastan. Draagt heerlijk en blijft mooi in model. 
Draag het jurkje met leuke sneakers of mooie slippers en je bent klaar voor de zomer!","","Jemappelle","14,49","Je m appelle","","44,98","","","0","64% Polyester / 32% Katoen / 4% Elastan","","","",
"https://www.jemappelle.nl/la-bikini-stripe-multicolor","7345","La Bikini Stripe ","https://www.jemappelle.nl/media/catalog/product/j/1/j10-919-jm43-2651_10.jpg","Zomerse konden we deze triangle bikini niet maken.  Prachtige multi color streepjes in vrolijke zomerkleuren. Heb je de print achterop het broekje gezien?
Door middel van de bandjes strik je de bikini eenvoudig groter of kleiner. 
Mocht je de vullingen in de cups niet willen gebruiken, dan zijn deze eenvoudig te verwijderen. 
We hebben de fit verbeterd evenals de kwaliteit van de stof.","Beachwear","Beachwear","21,98","Je m appelle","","40,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/le-swimsuit-mermaid-noir","7357","Le Swimsuit Mermaid","https://www.jemappelle.nl/media/catalog/product/j/1/j10-1005-jm43-3218_20.jpg","Het badpak is de hit van nu! 
We dragen het al lang niet meer omdat het corrigerend werkt, maar omdat het de absolute musthave is voor op het strand deze zomer. 
Combineer het met een van onze beach-tuniekjes, beachdresses of wrap-ups en je bent klaar voor de vakantie! 
De print en het charmante tapeje op de rug maken dit badpak helemaal af. ","","Jemappelle","12,49","Je m appelle","","39,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/le-swimsuit-dauphine","7413","Le Swimsuit Dauphine  ","https://www.jemappelle.nl/media/catalog/product/j/1/j10-915-jm43-3255_10.jpg","Het badpak is de hit van nu! 
We dragen het niet alleen meer omdat het corrigerend werkt, maar ook omdat het de absolute musthave is voor op het strand deze zomer.  Mooi in combinatie met een van onze beach-tuniekjes, beachdresses of wrap-ups. De print en het charmante tapeje op de rug maken dit badpak helemaal af. ","","Jemappelle","15,99","Je m appelle","","39,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/la-fundress-summer-9559","7517","La Fundress Summer","https://www.jemappelle.nl/media/catalog/product/1/0/1046.2.jpg","Het Je m'appelle team is helemaal weg van deze heerlijke zomerse gestreepte jurkjes! Wij dragen ze met sneakers of slippers, op het terras en naar het strand! Gemaakt van zomerse katoen, polyester en uiteraard elastan. Draagt heerlijk en blijft mooi in model. Heb je de fancy afwerking onderaan het jurkje gezien? 
","","Jemappelle","14,49","Je m appelle","","44,98","","","0","64% Polyester / 32% Katoen / 4% Elastan","","","",
"https://www.jemappelle.nl/la-robe-a-la-coco-autumn-stripe","7596","La Coco Summer Stripe","https://www.jemappelle.nl/media/catalog/product/1/1/1111_10.jpg","&bull; &Eacute;&eacute;n van de favoriete pasvormen van Je M'appelle <br />&bull; Bij de hals op verschillende manieren te dragen<br />&bull; Charmante 3/4 mouw<br />&bull; Naar wens lang of kort te dragen <br />&bull; Van zacht katoen met elastan <br />&bull; Draagt heerlijk, kreukt niet <br />&bull; All over taupe-off white gestreept&nbsp;<br />&bull; Gemaakt van prachtig modal, strijken niet nodig&nbsp;<br /><br /><br />","Dresses","Dresses","32,98","Je m appelle","","48,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/le-pant-points","7874","Homewear Pant Points","https://www.jemappelle.nl/media/catalog/product/b/r/broekgrijs1.jpg","Cosy Comfy!
Onze homewear mag je niet missen! Heerlijk om tijdens koude dagen mee op de bank te chillen. Is eenkleurig te basic voor jou? Combineer het dan met een van onze andere kleuren. Alles is te mixen en te matchen! De prachtige print is inside out en geeft een mooi vintage effect. Gemaakt van heerlijke slubkatoen in de kleur fresh grey.","","Jemappelle","12,99","Je m appelle","","29,98","","","0","100% Slubkatoen","","","",
"https://www.jemappelle.nl/la-blouse-kissing","8067","La Blouse Kissing","https://www.jemappelle.nl/media/catalog/product/1/2/1211.2.jpg","Mooi blousje met unieke print dat je combineert met je favoriete denim. Gemaakt van een prachtige volle katoen met een beetje elastan. Blijft dus ook tijdens het dragen en na het wassen mooi.","","Jemappelle","14,99","Je m appelle","","42,98","","","0","95% Katoen / 5% Elasthan","","","",
