[2019-09-13 05:08:10] main.ERROR: Error: Application is not installed yet.  [] []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["COMPILED_CONFIG"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"identifier":"SYSTEM_CONFIG"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2019-09-13 05:16:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["VERTEX"],"mode":"matchingTag"}} []
[2019-09-13 05:16:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/session/prolong","invalidateInfo":{"identifier":"interception"}} []
[2019-09-13 05:16:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/session/prolong","invalidateInfo":{"identifier":"interception"}} []
[2019-09-13 05:16:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingTag"}} []
[2019-09-13 05:16:11] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_9","FPC"],"mode":"matchingTag"}} []
